Town, Total , Total Males ,Total Females , Total Chinese,Chinese Males ,Chinese Females ,Total Malays,Malay Males ,Malay Females ,Total Indians,Indian Males ,Indian Females ,Total Others ,Other Males ,Other Females 
     Singapore River- Total ,"2,720","1,310","1,410","1,870",840,"1,030",10,10,10,220,120,100,620,350,270
         Boat Quay ,180,100,80,110,60,50, - , - , - ,20,10,10,50,40,20
         Clarke Quay ,130,80,50,70,40,30, - , - , - ,20,10,10,30,20,10
         Robertson Quay ,"2,420","1,130","1,290","1,690",740,950,10,10,10,180,100,90,530,290,240
     Southern Islands- Total ,"1,480",720,760,810,360,440,20,10,20,150,70,70,500,280,220
         Sentosa ,"1,470",720,760,810,360,440,20,10,20,150,70,70,500,280,220
         Southern Group , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Straits View- Total , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Straits View , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Sungei Kadut- Total ,850,430,420,710,360,350, - , - , - ,110,60,50,30,10,20
         Gali Batu ,130,50,80,110,40,70, - , - , - ,10,10, - ,10, - ,10
         Kranji ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Pang Sua ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Reservoir View ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Turf Club ,660,330,330,550,280,270, - , - , - ,90,40,50,20,10,10
     Tampines- Total ,"261,230","128,200","133,030","175,470","85,610","89,860","56,010","27,770","28,240","21,560","11,010","10,550","8,200","3,820","4,380"
         Simei ,"42,710","20,720","21,990","30,950","14,930","16,030","5,130","2,520","2,610","4,810","2,420","2,400","1,820",850,960
         Tampines East ,"138,500","67,900","70,600","89,310","43,580","45,730","34,020","16,800","17,220","10,800","5,500","5,300","4,360","2,020","2,340"
         Tampines North , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tampines West ,"78,110","38,610","39,500","53,600","26,290","27,300","16,790","8,410","8,380","5,800","3,010","2,790","1,920",890,"1,030"
         Xilin ,"1,920",970,950,"1,610",810,800,70,30,40,140,80,60,100,50,50
     Tanglin- Total ,"19,000","8,770","10,230","14,160","6,410","7,750",190,80,110,"1,930",920,"1,010","2,720","1,360","1,360"
         Chatsworth ,"5,740","2,640","3,100","3,960","1,800","2,160",50,20,30,860,400,460,870,430,440
         Nassim ,"8,340","3,820","4,510","6,530","2,930","3,600",90,40,50,640,330,320,"1,080",530,540
         Ridout ,"1,400",650,760,"1,040",470,580, - , - , - ,140,60,70,220,120,110
         Tyersall ,"3,520","1,660","1,860","2,630","1,220","1,410",50,20,30,290,130,160,550,290,270
     Tengah- Total ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tengah ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Toa Payoh- Total ,"124,940","59,840","65,100","102,230","48,620","53,610","9,920","4,910","5,010","9,290","4,710","4,570","3,510","1,600","1,920"
         Bidadari ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Boon Teck ,"15,110","7,340","7,770","11,350","5,480","5,870","2,280","1,120","1,160","1,200",620,570,290,120,160
         Braddell ,"10,760","5,160","5,610","8,360","3,930","4,430","1,330",670,650,760,400,370,310,160,160
         Joo Seng ,"6,720","3,360","3,360","5,780","2,880","2,900",240,120,110,550,290,270,150,70,80
         Kim Keat ,"8,610","4,180","4,430","7,050","3,420","3,630",530,260,270,810,400,410,220,100,120
         Lorong 8 Toa Payoh ,"8,220","3,970","4,250","6,730","3,240","3,490",760,370,380,540,280,270,190,80,100
         Pei Chun ,"11,780","5,670","6,120","9,700","4,650","5,060","1,010",500,510,730,380,350,340,140,200
         Potong Pasir ,"12,650","6,260","6,400","10,330","5,060","5,270",680,350,330,"1,410",740,670,240,110,130
         Sennett ,"4,540","2,160","2,380","4,100","1,950","2,150",70,30,40,280,140,140,90,40,50
         Toa Payoh Central ,"30,740","14,410","16,340","25,390","11,850","13,540","2,380","1,170","1,210","1,990",940,"1,040",990,450,550
         Toa Payoh West ,"13,360","6,140","7,220","11,230","5,090","6,150",620,310,320,900,470,430,600,280,320
         Woodleigh ,"2,440","1,200","1,240","2,200","1,080","1,130",20,10,10,120,60,60,100,50,50
     Tuas- Total ,70, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tengeh , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tuas Bay ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tuas North ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tuas Promenade ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tuas View ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tuas View Extension , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Western Islands- Total , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Jurong Island and Bukom , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Semakau , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Sudong , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Western Water Catchment- Total ,900,400,500,730,320,410, - , - , - ,90,40,50,70,30,40
         Western Water Catchment ,900,400,500,730,320,410, - , - , - ,90,40,50,70,30,40
     Woodlands- Total ,"250,290","125,900","124,380","153,780","77,070","76,710","62,310","31,360","30,960","27,810","14,480","13,330","6,380","3,000","3,380"
         Greenwood Park ,70, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Midview ,"35,510","17,780","17,730","21,130","10,550","10,580","9,680","4,810","4,870","3,920","2,060","1,860",790,360,430
         North Coast ,"14,610","7,450","7,160","8,140","4,180","3,960","4,240","2,130","2,110","1,950","1,000",940,280,130,140
         Senoko West ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Woodgrove ,"35,850","17,960","17,880","22,880","11,330","11,550","8,340","4,250","4,090","3,730","1,970","1,760",910,420,490
         Woodlands East ,"95,510","47,840","47,660","60,560","30,240","30,320","21,560","10,760","10,800","10,730","5,590","5,150","2,660","1,260","1,400"
         Woodlands Regional Centre , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Woodlands South ,"35,840","17,970","17,860","21,710","10,790","10,930","9,130","4,630","4,500","3,910","2,010","1,900","1,080",540,540
         Woodlands West ,"32,890","16,850","16,040","19,310","9,960","9,350","9,360","4,770","4,590","3,560","1,840","1,720",670,280,390
     Yishun- Total ,"201,970","99,990","101,980","142,300","70,230","72,060","33,940","16,950","16,990","20,230","10,310","9,920","5,510","2,500","3,010"
         Khatib ,"10,850","5,300","5,550","8,100","3,980","4,120","1,390",670,710,"1,050",510,550,310,150,160
         Lower Seletar ,"2,870","1,410","1,450","2,220","1,090","1,130",340,160,180,230,120,110,80,50,30
         Nee Soon ,900,440,470,790,380,420,30,10,10,50,30,20,30,20,10
         Northland ,"30,380","15,130","15,260","20,070","10,020","10,040","6,030","3,000","3,040","3,190","1,600","1,580","1,100",510,590
         Springleaf ,"3,880","1,930","1,940","3,560","1,780","1,790",30,10,20,190,100,90,100,50,50
         Yishun Central ,"1,490",740,750,"1,200",590,610,140,70,70,130,70,60,30,10,20
         Yishun East ,"54,880","27,190","27,690","37,680","18,640","19,040","10,500","5,210","5,290","5,350","2,760","2,600","1,340",590,760
         Yishun South ,"38,840","19,050","19,790","28,880","14,130","14,750","4,960","2,470","2,490","4,010","2,020","2,000",990,440,550
         Yishun West ,"57,890","28,790","29,090","39,800","19,630","20,160","10,520","5,350","5,180","6,040","3,110","2,920","1,530",700,830
